,country,name,symbol,issuer,isin,asset_class,currency,underlying
1875,india,Idfc Corporate Bond Fund Direct Plan Annual Dividend Payout,0P00018DD7,IDFC Asset Management Company Limited,INF194KA1T34,bond,INR,
1876,india,Idfc Corporate Bond Fund Regular Plan Dividend Payout,0P00017AYU,IDFC Asset Management Company Limited,INF194KA1L99,bond,INR,
1877,india,Idfc Corporate Bond Fund Regular Plan Monthly Dividend Payout,0P00017XDY,IDFC Asset Management Company Limited,INF194KA1R28,bond,INR,
1878,india,Idfc Corporate Bond Fund Direct Plan Dividend Payout,0P00017AYW,IDFC Asset Management Company Limited,INF194KA1M31,bond,INR,
1879,india,Idfc Corporate Bond Fund Direct Plan Monthly Dividend Payout,0P0001839G,IDFC Asset Management Company Limited,INF194KA1S43,bond,INR,
1880,india,Idfc Corporate Bond Fund Regular Plan Quarterly Dividend Payout,0P00017TOX,IDFC Asset Management Company Limited,INF194KA1R51,bond,INR,
1881,india,Idfc Corporate Bond Fund Regular Plan Half Yearly Dividend Payout,0P00017T7M,IDFC Asset Management Company Limited,INF194KA1R85,bond,INR,
1882,india,Aditya Birla Sun Life Corporate Bond Fund Regular Plan Growth,0P00005V68,Aditya Birla Sun Life AMC Ltd,INF209K01785,bond,INR,
1883,india,Aditya Birla Sun Life Corporate Bond Fund Regular Plan Monthly Dividend Payout,0P00005V6A,Aditya Birla Sun Life AMC Ltd,INF209K01983,bond,INR,
1884,india,Hdfc Corporate Bond Fund -direct Plan - Growth Option,0P0000XW8D,HDFC Asset Management Company Limited,INF179K01XD8,bond,INR,
1885,india,Pgim India Banking And Psu Debt Fund Direct Plan Quarterly Dividend Payout,0P0000ZO12,DHFL Pramerica Asset Managers Private Limited,INF223J01WB2,bond,INR,
1886,india,Hdfc Corporate Bond Fund Direct Option Normal Dividend Payout Option,0P00014JBM,HDFC Asset Management Company Limited,INF179KA1D17,bond,INR,
1887,india,Pgim India Banking And Psu Debt Fund Direct Plan Growth,0P0000Y81P,DHFL Pramerica Asset Managers Private Limited,INF223J01SZ9,bond,INR,
1888,india,Pgim India Banking And Psu Debt Fund Weekly Dividend Payout,0P0000YF33,DHFL Pramerica Asset Managers Private Limited,INF223J01VT6,bond,INR,
1889,india,Uti Banking & Psu Debt Fund Regular Plan Annual Dividend Payout Option,0P0001965H,UTI Asset Management Company Ltd,INF789FAIU46,bond,INR,
1890,india,Uti Banking & Psu Debt Fund Flexi Dividend Payout Option,0P00018JEE,UTI Asset Management Company Ltd,INF789FA1U61,bond,INR,
1891,india,Uti Banking & Psu Debt Fund Direct Plan Annual Dividend Payout Option,0P000197TJ,UTI Asset Management Company Ltd,INF789FA1V03,bond,INR,
1892,india,Uti Banking & Psu Debt Fund Regular Plan Monthly Dividend Payout Option,0P00017AU9,UTI Asset Management Company Ltd,,bond,INR,
1893,india,Uti Banking & Psu Debt Fund Regular Plan Half Yearly Dividend Payout Option,0P000184G2,UTI Asset Management Company Ltd,INF789FA1U20,bond,INR,
1894,india,Uti Banking & Psu Debt Fund Regular Dividend Payout,0P00011WHO,UTI Asset Management Company Ltd,INF789F012Z3,bond,INR,
1895,india,Uti Banking & Psu Debt Fund Monthly Dividend Payout Option Direct,0P00015FZN,UTI Asset Management Company Ltd,,bond,INR,
1896,india,Uti Banking & Psu Debt Fund Direct Growth,LP68247899,UTI Asset Management Company Ltd,INF789F015Z6,bond,INR,
1897,india,Uti Banking & Psu Debt Fund Direct Quarterly Dividend Payout,0P00011WHN,UTI Asset Management Company Ltd,INF789F016Z4,bond,INR,
1898,india,Uti Banking & Psu Debt Fund Regular Growth,LP68246140,UTI Asset Management Company Ltd,INF789F014Z9,bond,INR,
1899,india,Uti Banking & Psu Debt Fund Flexi Dividend Payout Option Direct,0P00015ESV,UTI Asset Management Company Ltd,INF789FA1V29,bond,INR,
1900,india,Edelweiss Banking And Psu Debt Fund Regular Dividend Payout,0P0000ZK6N,Edelweiss Asset Management Limited,INF843K01FL9,bond,INR,
